Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2010-01-01,Melbourne,19.2,20.8,10.6,15.4,0,NNE,63,SSE,S,11,15,91,77,1010.8,1009.2,8,8,19.2,19.7,Yes,Yes
2010-01-02,Melbourne,15.5,22.5,5,0.6,3.2,S,54,SW,SSE,22,28,76,41,1011.2,1012.4,7,7,16.2,21.4,Yes,No
2010-01-03,Melbourne,14.5,21.4,0,6,6.5,SSE,44,SSW,SSE,24,28,57,56,1019.3,1019.5,7,7,16.5,19.2,No,No
2010-01-04,Melbourne,13.4,27.6,0,5.2,13.8,SSE,33,SE,SSE,9,9,57,42,1018.7,1014.9,1,4,17.5,25.4,No,No
2010-01-05,Melbourne,16,25,0,6.4,13.9,SSW,41,ENE,S,6,28,71,57,1013.9,1014.5,2,5,19.3,23,No,No
2010-01-06,Melbourne,16.1,23.6,0,8,9.4,SSE,39,SSW,SSE,15,24,68,49,1018.2,1017.8,7,5,17.8,21.6,No,No
2010-01-07,Melbourne,14.8,24.7,0,6.2,13,SSE,35,SE,S,17,22,51,44,1018.9,1017,3,0,18,23.7,No,No
2010-01-08,Melbourne,14.8,36.6,0,6.6,11.3,N,57,NNE,N,9,26,58,20,1017,1013.3,1,6,20.8,34.4,No,No
2010-01-09,Melbourne,20.6,38.7,0,12.6,13.7,NA,NA,N,S,35,30,28,47,1013.4,1014.5,6,1,30.8,26.4,No,No
2010-01-10,Melbourne,17.1,29.6,0,11.4,13.2,S,30,S,S,6,9,63,44,1017.5,1014.6,1,1,20.6,28.8,No,No
2010-01-11,Melbourne,19,43.6,0,8.4,11.7,N,59,N,NNW,35,28,63,14,1011.7,1005.9,0,4,24.4,41.5,No,No
2010-01-12,Melbourne,24.2,35.6,0,19.4,2.7,WSW,65,WSW,WNW,20,30,39,39,1004.4,1004.3,7,7,30.8,33.5,No,No
2010-01-13,Melbourne,17.4,23,0.2,7.6,5.7,S,48,S,SSE,15,30,52,39,1015.6,1016.9,7,6,18.3,21.5,No,No
2010-01-14,Melbourne,15.3,23.4,0,5,13.4,SSE,43,SSE,S,19,24,44,42,1019.6,1018.7,3,2,18.7,21.8,No,No
2010-01-15,Melbourne,16.3,26.8,0,9.2,12,S,31,SSE,S,11,15,61,46,1017.5,1014.1,7,3,18.5,24.5,No,No
2010-01-16,Melbourne,16.9,33.1,0,8,12.3,SW,56,NNE,S,9,33,81,62,1008.3,1006.2,2,6,18.7,24.4,No,No
2010-01-17,Melbourne,13.8,21,0,11.4,9.3,WSW,69,W,WSW,24,39,51,35,1009.6,1008.3,5,7,16.9,20.7,No,Yes
2010-01-18,Melbourne,10.4,20.6,2.6,7.8,7,SW,57,SW,SSW,43,31,85,61,1009.8,1011.3,7,7,12.4,17.8,Yes,Yes
2010-01-19,Melbourne,11.3,22.9,7.2,5.2,9.2,WSW,44,WSW,WSW,20,20,55,40,1014.1,1012.4,7,4,14.8,20.6,Yes,No
2010-01-20,Melbourne,14.5,28.2,0,6.4,10.6,SSE,39,NW,SSE,13,20,62,32,1011.4,1009.6,3,4,18.2,25.3,No,No
2010-01-21,Melbourne,16,28.5,0,7.6,8.3,S,37,SSE,SSE,6,17,61,36,1011.8,1009.2,5,5,19.7,27.9,No,No
2010-01-22,Melbourne,19.5,37.5,0,10,1,NNW,70,N,N,41,26,50,13,1005.2,1002.2,7,7,24.8,34.4,No,No
2010-01-23,Melbourne,17.4,22.3,0,11.4,8.4,SW,54,SSW,S,17,30,60,44,1013,1015.1,7,2,18.2,20.1,No,No
2010-01-24,Melbourne,12.7,22.3,0,7.4,10.3,S,33,E,S,9,13,59,47,1016.2,1014.4,7,1,15.7,21.8,No,No
2010-01-25,Melbourne,13.6,23.8,0,6.6,11.2,S,33,SE,S,13,20,62,48,1014.8,1012.4,6,1,16.7,22.3,No,No
2010-01-26,Melbourne,13.8,24.5,0,7,9.9,S,43,SSW,SSE,11,26,69,60,1011.5,1012.3,7,2,17.8,22.5,No,No
2010-01-27,Melbourne,16.2,22.2,0,7.2,7.5,SSE,48,SSE,S,22,26,58,48,1016.4,1015.1,7,0,17.1,21.6,No,No
2010-01-28,Melbourne,15.8,26.1,0,6.6,9,SSW,43,W,SSW,15,20,70,56,1010.5,1008.7,7,2,17.7,23.8,No,No
2010-01-29,Melbourne,17.5,23.5,0,7,7.5,SSE,48,S,S,24,30,70,45,1014.8,1015.9,7,2,18.9,21.6,No,No
2010-01-30,Melbourne,13.4,36.2,0,6.8,13.1,NNE,50,W,N,9,26,65,35,1016,1011.1,0,1,17.1,31.5,No,No
2010-01-31,Melbourne,17.1,37.2,0,14.8,7.2,N,81,N,N,61,44,38,24,1009.6,1006.4,1,4,28.6,36.2,No,Yes
2010-02-01,Melbourne,16.9,24.9,1.4,10.2,11,S,39,SSE,S,15,28,58,45,1019,1016.3,7,2,18.2,22.7,Yes,No
2010-02-02,Melbourne,16.7,35.2,0,7.4,12,N,52,E,SE,11,20,61,28,1015.6,1012.2,3,7,21.9,33.6,No,No
2010-02-03,Melbourne,21.6,34.8,0,12,12.1,N,43,ENE,NE,19,13,36,25,1013.9,1009.4,3,6,27,33.4,No,No
2010-02-04,Melbourne,25.5,30.8,0,13.2,0.7,N,63,N,N,22,26,35,83,1008.9,1008.7,7,7,28.5,22.8,No,Yes
2010-02-05,Melbourne,17.6,20.9,15,2.2,1.6,S,43,SSW,SSE,19,31,95,69,1014.6,1016.5,8,7,18,19.2,Yes,Yes
2010-02-06,Melbourne,15.5,26.5,2,4.8,11.3,SSE,39,S,S,22,19,57,48,1021.4,1019.8,2,6,18.7,25.7,Yes,No
2010-02-07,Melbourne,14.9,33.2,0,5.2,13,SSE,31,NA,SSE,0,13,67,40,1022.1,1018.9,0,1,19.3,30.7,No,No
2010-02-08,Melbourne,19,35.3,0,7.2,12.8,SSE,44,E,S,9,24,66,41,1020.9,1018.6,1,1,23.7,31.8,No,No
2010-02-09,Melbourne,19.3,32.1,0,10,8.8,N,54,N,SSE,39,20,58,53,1019.5,1017.8,2,5,25.5,29.5,No,No
2010-02-10,Melbourne,20.1,32.7,0,8.8,3.8,WNW,59,E,N,7,22,71,50,1018.5,1015.4,6,7,24.2,28.3,No,No
2010-02-11,Melbourne,22.2,31.4,0,3.4,4.5,SW,72,WNW,NNE,9,20,67,64,1014.4,1009,6,7,24.2,29.1,No,Yes
2010-02-12,Melbourne,19.5,22.8,35.2,6.8,0.4,S,37,SW,S,20,22,79,66,1011.1,1012.6,8,7,20.9,21.1,Yes,No
2010-02-13,Melbourne,18.2,21.3,0,2.8,0.1,SSW,31,SSW,S,11,22,83,76,1011.9,1010.4,8,7,18.9,20.8,No,Yes
2010-02-14,Melbourne,17.7,28.3,9.2,1.6,7.5,SSE,43,SW,S,15,20,85,63,1008.9,1006.8,7,4,19.1,25,Yes,No
2010-02-15,Melbourne,19,27.3,0,5.8,7.4,SE,57,SE,S,28,30,72,45,1013.2,1013.9,7,6,20.3,26.1,No,No
2010-02-16,Melbourne,16,27.3,0,5.6,12.7,S,39,SSE,S,26,24,67,44,1017.5,1015.7,1,0,19.1,25.5,No,No
2010-02-17,Melbourne,15.9,25.9,0,7.4,10.8,SSE,41,SW,SSW,13,17,72,48,1017.4,1018.1,6,3,18.7,25.1,No,No
2010-02-18,Melbourne,17.5,24.1,0,7,11.7,SSE,33,SSE,SSE,20,20,62,57,1023.6,1022,7,0,19.9,23.1,No,No
2010-02-19,Melbourne,17.1,32.8,0,8,12.1,N,74,N,N,50,31,40,24,1022,1018.1,1,1,23.1,30.7,No,No
2010-02-20,Melbourne,23,34.3,0,14.2,10.1,N,74,N,N,43,39,38,24,1015.2,1010.8,1,7,25.4,33.1,No,No
2010-02-21,Melbourne,21.6,28.6,0,14.8,10.4,N,57,SSW,SSE,13,20,67,46,1011.1,1009.1,6,4,21.9,26.8,No,No
2010-02-22,Melbourne,19.1,29.6,0,7,9.3,WSW,74,W,WSW,13,24,73,35,1012.2,1008.9,7,5,20.3,27.4,No,No
2010-02-23,Melbourne,13.3,23.6,0,9.2,11.8,SSW,43,SW,SSE,24,24,58,48,1021,1021.1,6,5,15.7,21.9,No,No
2010-02-24,Melbourne,12.7,23.3,0,6.4,12.5,SSE,41,WSW,S,9,22,63,49,1023.2,1022.4,3,1,17.1,22.5,No,No
2010-02-25,Melbourne,14.2,25.1,0,6.6,12.2,S,31,SSW,SSE,6,15,62,50,1026.4,1024.2,1,1,18.1,23.3,No,No
2010-02-26,Melbourne,16.2,33.4,0,5.8,11.7,N,59,N,N,41,31,46,22,1022.4,1017.9,2,2,23.5,32,No,No
2010-02-27,Melbourne,22.4,22.6,0,13,1.6,N,50,S,S,24,19,78,71,1017.4,1019.6,7,8,22.5,19.8,No,No
2010-02-28,Melbourne,16.3,20.7,0,4,5.2,S,52,SSW,S,19,33,60,43,1021.8,1022.1,7,6,17.3,19.8,No,No
2010-03-01,Melbourne,14.1,21.4,0.4,8,8.5,SSE,54,SE,SSE,33,39,45,48,1024.3,1022.2,3,7,16.7,20.5,No,No
2010-03-02,Melbourne,14.1,22.4,0,6.2,10.3,SSE,41,SSE,S,11,26,57,48,1022.6,1020.2,7,3,17.9,22.1,No,No
2010-03-03,Melbourne,15.8,27.7,0,5.4,10.5,SSE,26,NNE,SE,9,13,69,43,1019.9,1015.6,7,0,17.3,26.7,No,No
2010-03-04,Melbourne,16.5,31.3,0,6.8,5.5,N,48,N,N,22,26,55,27,1012.7,1008.7,4,7,22,30.6,No,No
2010-03-05,Melbourne,20.5,26.7,1,7.6,1.5,NNE,48,N,NNE,11,28,61,57,1006.6,1004.2,7,7,22.8,26.2,No,Yes
2010-03-06,Melbourne,19.8,26.8,1.2,4,5.7,WSW,102,SW,SSW,6,26,73,96,1009.6,1010.2,7,8,22.9,18.2,Yes,Yes
2010-03-07,Melbourne,17.9,27.3,39.2,13.2,3.7,WSW,50,SE,SW,19,7,92,47,1013.8,1008.5,8,7,18.2,26.9,Yes,Yes
2010-03-08,Melbourne,16.4,22.5,27.2,7,6.4,N,67,N,N,20,37,89,60,1006.3,1004.3,6,7,18.2,20.3,Yes,Yes
2010-03-09,Melbourne,16.2,21.2,7,3,7.3,WSW,57,W,WSW,30,39,62,36,1013.4,1016.8,3,6,18,19.9,Yes,No
2010-03-10,Melbourne,13.7,20.4,0,6,4.6,S,44,SW,S,17,31,57,44,1026.5,1028.4,7,5,15.3,19.3,No,No
2010-03-11,Melbourne,13.7,22.2,0.2,3.6,11.6,S,41,SE,S,11,26,64,47,1034.1,1033.5,2,2,16.8,21.3,No,No
2010-03-12,Melbourne,11.1,26.4,0,4,11.4,SE,31,W,S,9,19,72,40,1037.2,1034.6,2,3,15.3,24.9,No,No
2010-03-13,Melbourne,13.7,28.3,0,5,11.6,NNW,39,NW,S,9,6,70,35,1035.2,1031.5,1,1,16.8,27.1,No,No
2010-03-14,Melbourne,13.8,28.8,0,5.8,11.5,N,39,N,NNE,22,19,66,30,1029.5,1025.4,2,1,17.6,27.8,No,No
2010-03-15,Melbourne,15.3,30.4,0,6.6,10.5,N,33,N,WNW,24,13,58,26,1024.2,1021,0,2,18.5,29.4,No,No
2010-03-16,Melbourne,18.5,32.2,0,8.6,11,N,43,N,N,31,28,47,25,1021.6,1019.6,1,2,21.5,30.9,No,No
2010-03-17,Melbourne,21.5,33,0,11.8,7.8,N,56,N,W,41,13,36,32,1022.2,1021.2,3,7,24.7,30.3,No,No
2010-03-18,Melbourne,20.9,31.9,0,8,2.2,NNW,41,N,NNW,17,17,60,27,1023.1,1019.8,7,7,23,30.9,No,No
2010-03-19,Melbourne,23,28.4,0,8.8,4.8,N,43,W,WSW,9,13,53,49,1016.5,1015.8,7,7,23.4,27.3,No,No
2010-03-20,Melbourne,18.8,26.7,0.2,3.2,8.4,SSW,31,SSW,S,9,26,63,48,1020.7,1019.3,7,5,20.3,24.5,No,No
2010-03-21,Melbourne,17.5,24.7,0,5.4,8.2,SW,54,W,SW,11,31,54,40,1019.6,1019.8,7,6,18.6,22.7,No,No
2010-03-22,Melbourne,13.1,22.5,0,5.8,11,S,33,WSW,SW,17,11,64,41,1023.4,1022,3,1,13.9,21.1,No,No
2010-03-23,Melbourne,13.3,23.7,0,4,7.3,SW,37,WSW,WSW,17,17,61,46,1023.7,1021.9,7,5,15.8,22.2,No,No
2010-03-24,Melbourne,15.8,23.4,0,4.4,8.4,SE,33,W,SE,13,17,75,58,1024.8,1023.4,7,3,17.9,21.5,No,No
2010-03-25,Melbourne,12.8,31.5,0,3.8,10,N,46,N,NNW,13,20,90,27,1020.3,1016.2,7,5,14.9,30.4,No,No
2010-03-26,Melbourne,14.8,30.7,0,9.6,7.2,N,50,N,SSE,31,30,42,52,1016.6,1016.9,5,7,22.4,24.7,No,No
2010-03-27,Melbourne,17.2,22.7,0,4,0.4,SW,30,SSE,S,15,13,NA,58,1021.4,1018.8,7,7,NA,21.8,No,No
2010-03-28,Melbourne,17.8,27.2,0,3.8,0.1,N,61,N,N,31,30,56,42,1012.2,1009.6,7,8,21.4,26,No,Yes
2010-03-29,Melbourne,17.9,23.3,8,3.8,6.8,W,44,NNW,SE,11,22,89,63,1013.5,1015.5,7,5,19.2,23,Yes,No
2010-03-30,Melbourne,15.1,22.6,0.4,4,9.6,S,37,SW,S,11,28,78,53,1022.8,1022.9,5,6,15.6,21.2,No,No
2010-03-31,Melbourne,13.4,23.9,0,3.6,7.6,SW,26,SW,WSW,7,9,78,48,1023,1019.9,7,1,13.8,23.4,No,No
2010-04-01,Melbourne,13.8,24,0,2.4,7.7,S,31,W,SSE,11,19,79,45,1020.8,1019.2,7,4,17.1,23.9,No,No
2010-04-02,Melbourne,16.1,21.9,0,2.2,4.9,S,44,SSE,S,22,31,75,59,1022,1021.2,6,6,17.4,20.5,No,No
2010-04-03,Melbourne,13.9,24.4,0,4,9,SSW,31,W,S,9,17,72,47,1022.8,1020.3,3,5,14.9,22.5,No,No
2010-04-04,Melbourne,12.7,25.8,0,4.4,9.7,N,33,W,N,4,20,67,40,1022,1016.9,4,6,15.8,25.1,No,No
2010-04-05,Melbourne,14.9,26.9,0,4.6,9.9,N,50,N,N,24,31,62,34,1018.1,1014.4,3,6,18.8,25.8,No,No
2010-04-06,Melbourne,18.4,25.3,0,7,0.5,N,48,N,NE,26,20,42,36,1014.8,1011.7,7,7,22.3,24.3,No,Yes
2010-04-07,Melbourne,17.2,25.7,6.8,5.2,4.1,N,41,N,WNW,20,19,84,40,1010.2,1008.3,7,7,19.3,25.3,Yes,No
2010-04-08,Melbourne,17.7,22.9,0.2,4,3.9,SW,50,WSW,S,20,22,69,63,1016.4,1017.5,7,7,19.1,21.1,No,No
2010-04-09,Melbourne,13.5,21.7,0,2.6,2.3,N,26,N,W,9,13,82,49,1015.2,1011.2,6,7,15.6,21.4,No,No
2010-04-10,Melbourne,15,22.6,0.2,1.6,2.6,N,37,N,W,24,15,77,62,1009.1,1006.5,7,7,17.4,21.2,No,Yes
2010-04-11,Melbourne,11.8,17.7,3.6,4,8.5,W,72,W,WSW,37,37,54,38,1007,1009.6,4,6,15.1,16.7,Yes,No
2010-04-12,Melbourne,11.2,17.8,0.4,5,6.2,WSW,56,WSW,WSW,35,31,67,66,1017.7,1018.7,5,7,14.1,16.9,No,No
2010-04-13,Melbourne,13.1,17.8,0.6,3.6,0,WSW,33,SW,SSW,20,19,57,59,1025.8,1024.1,8,7,15.1,16.6,No,No
2010-04-14,Melbourne,13.2,18.4,0,2.6,0.3,SW,30,SW,SSW,15,15,68,47,1024.6,1022.5,7,7,14.5,17.9,No,No
2010-04-15,Melbourne,14,19.1,0,2.2,0.8,SW,30,SSW,SSE,15,19,68,73,1024.8,1024.2,7,7,16,17.3,No,No
2010-04-16,Melbourne,13.2,25.9,0,1.6,9.8,NNE,44,NNE,NNE,7,20,74,32,1026.1,1022,4,2,15.3,24.7,No,No
2010-04-17,Melbourne,13.6,27.3,0,5.2,10.2,N,44,N,N,20,28,64,26,1025.7,1022.2,2,5,17,26.9,No,No
2010-04-18,Melbourne,16,27.7,0,5.4,5.8,N,50,N,N,24,26,58,35,1025,1022.1,7,7,18.1,26.4,No,No
2010-04-19,Melbourne,16.1,27.6,0,6,6.6,N,46,N,N,17,28,66,37,1023.8,1020.6,6,7,17.5,27.3,No,No
2010-04-20,Melbourne,17.5,29.4,0,6.6,8.8,N,57,N,N,37,33,59,34,1020.9,1016.7,4,5,21.2,29.2,No,No
2010-04-21,Melbourne,17.3,24.5,1,5,7.7,N,41,SW,S,7,15,81,61,1021.7,1018.9,7,5,19.5,23,No,No
2010-04-22,Melbourne,16.4,30.1,0,3.6,8.9,NNW,52,N,NW,28,26,58,31,1020.1,1016.5,1,5,21.7,29.5,No,No
2010-04-23,Melbourne,20.8,26.4,0,8,1.2,NNW,56,N,NNW,24,20,44,62,1014.5,1011.8,7,7,22.6,22.7,No,Yes
2010-04-24,Melbourne,19,24.5,5,3.8,3,NNW,54,NW,WSW,20,31,73,47,1007.9,1005.7,7,6,20.1,21.8,Yes,No
2010-04-25,Melbourne,12.2,20.1,0.4,4.4,6.8,SW,44,W,SSW,22,24,70,55,1017.4,1019.6,4,6,14,17.5,No,No
2010-04-26,Melbourne,8.7,20.4,0,1.4,8.4,N,48,N,NNW,19,17,72,40,1025.3,1021.2,7,7,11.7,19.5,No,No
2010-04-27,Melbourne,11.7,17.8,0,4.6,0.6,N,52,N,SW,30,9,62,83,1018,1017.3,7,7,14.8,14.3,No,No
2010-04-28,Melbourne,8.8,18.1,0.8,0.8,4.4,NW,56,N,NW,26,28,60,56,1018.8,1015.3,7,7,12.9,18.1,No,Yes
2010-04-29,Melbourne,12.8,18.4,2.2,2.8,2.7,W,48,WNW,SW,13,28,71,58,1020.8,1020.6,7,7,14.8,17.8,Yes,No
